operation,screens,http_routes,cli_paths,mcp_names
dashboard,01 Personal overview; 02 Business overview,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/dashboard""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/dashboard""}]",[],"[""books_company_dashboard""]"
db_backup,35 Database maintenance and recovery,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/db_backup""}]","[""backup"", ""db backup""]","[""books_db_db_backup""]"
db_doctor,35 Database maintenance and recovery,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/db_doctor""}]","[""db doctor"", ""doctor""]","[""books_db_db_doctor""]"
db_init,35 Database maintenance and recovery,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/db_init""}]","[""db init""]","[""books_db_db_init""]"
db_migrate,35 Database maintenance and recovery,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/db_migrate""}]","[""db migrate""]","[""books_db_db_migrate""]"
db_restore,35 Database maintenance and recovery,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/db_restore""}]","[""db restore"", ""restore""]","[""books_db_db_restore""]"
db_status,35 Database maintenance and recovery,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/db_status""}]","[""db status""]","[""books_db_db_status""]"
entity_create,"32 Entities, books and consolidation","[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/entity_create""}]","[""entity create""]","[""books_db_entity_create""]"
entity_list,"32 Entities, books and consolidation","[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/entity_list""}]","[""entity list""]","[""books_db_entity_list""]"
group_create,"32 Entities, books and consolidation","[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/group_create""}]","[""group create""]","[""books_db_group_create""]"
group_list,"32 Entities, books and consolidation","[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/group_list""}]","[""group list""]","[""books_db_group_list""]"
health,34 Connection and preferences,"[{""method"": ""GET"", ""path"": ""/v1/health""}]",[],"[""books_health""]"
import_batch_list,21 Source evidence and import batches,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/import_batch_list""}]","[""import-batch list""]","[""books_db_import_batch_list""]"
import_batch_show,21 Source evidence and import batches,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/import_batch_show""}]","[""import-batch show""]","[""books_db_import_batch_show""]"
import_quickbooks_apply,20 QuickBooks migration,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/import_quickbooks_apply""}]","[""import quickbooks apply""]","[""books_company_import_quickbooks_apply""]"
import_quickbooks_inspect,20 QuickBooks migration,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/import_quickbooks_inspect""}]","[""import quickbooks inspect""]","[""books_company_import_quickbooks_inspect""]"
import_quickbooks_plan,20 QuickBooks migration,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/import_quickbooks_plan""}]","[""import quickbooks plan""]","[""books_company_import_quickbooks_plan""]"
import_source_read,21 Source evidence and import batches,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/imports/{job}/source""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/import_source_read""}]",[],"[""books_company_import_source_read""]"
journal_abandon,09 Posted entry detail,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_abandon""}]","[""journal abandon""]","[""books_db_journal_abandon""]"
journal_add,13 Journal editor,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/journals""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/journal_add""}]","[""journal add""]","[""books_company_journal_add""]"
journal_create,13 Journal editor,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_create""}]","[""journal create""]","[""books_db_journal_create""]"
journal_edit,13 Journal editor,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_edit""}]","[""journal edit""]","[""books_db_journal_edit""]"
journal_import,14 Journals and batch posting,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_import""}]","[""journal import""]","[""books_db_journal_import""]"
journal_list,14 Journals and batch posting,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_list""}]","[""journal list""]","[""books_db_journal_list""]"
journal_post,09 Posted entry detail,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_post""}]","[""journal post""]","[""books_db_journal_post""]"
journal_post_batch,14 Journals and batch posting,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_post_batch""}]","[""journal post-batch""]","[""books_db_journal_post_batch""]"
journal_reverse,15 Correct or reverse an entry,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_reverse""}]","[""journal reverse""]","[""books_db_journal_reverse""]"
journal_show,09 Posted entry detail,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/journals/{journal}""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_show""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/journal_show""}]","[""journal show""]","[""books_company_journal_show"", ""books_db_journal_show""]"
journal_validate,13 Journal editor,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/journals/{journal}/validation""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/journal_validate""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/journal_validate""}]","[""journal validate""]","[""books_company_journal_validate"", ""books_db_journal_validate""]"
ownership_list,"32 Entities, books and consolidation","[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/ownership_list""}]","[""ownership list""]","[""books_db_ownership_list""]"
ownership_set,"32 Entities, books and consolidation","[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/ownership_set""}]","[""ownership set""]","[""books_db_ownership_set""]"
period_close,30 Periods and optional period close,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/period_close""}]","[""period close""]","[""books_db_period_close""]"
period_create,30 Periods and optional period close,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/period_create""}]","[""period create""]","[""books_db_period_create""]"
period_list,30 Periods and optional period close,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/periods""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/period_list""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/period_list""}]","[""period list"", ""periods""]","[""books_company_period_list"", ""books_db_period_list""]"
period_reopen,30 Periods and optional period close,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/periods/{period}/reopen""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/period_reopen""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/period_reopen""}]","[""period reopen"", ""reopen""]","[""books_company_period_reopen"", ""books_db_period_reopen""]"
period_year_close,31 Fiscal year close,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/period_year_close""}]","[""period year-close""]","[""books_db_period_year_close""]"
periods_add,30 Periods and optional period close,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/periods""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/periods_add""}]","[""periods add""]","[""books_company_periods_add""]"
receive,11 Record income,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/transactions/receive""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/receive""}]","[""receive""]","[""books_company_receive""]"
reconcile_abandon,25 Complete or reopen reconciliation,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_abandon""}]","[""reconcile abandon""]","[""books_db_reconcile_abandon""]"
reconcile_allocate,24 Reconciliation workspace,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_allocate""}]","[""reconcile allocate""]","[""books_db_reconcile_allocate""]"
reconcile_allocations,24 Reconciliation workspace,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_allocations""}]","[""reconcile allocations""]","[""books_db_reconcile_allocations""]"
reconcile_apply,25 Complete or reopen reconciliation,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/reconciliations/apply""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/reconcile_apply""}]","[""reconcile apply""]","[""books_company_reconcile_apply""]"
reconcile_complete,25 Complete or reopen reconciliation,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_complete""}]","[""reconcile complete""]","[""books_db_reconcile_complete""]"
reconcile_list,23 Reconciliations and statement setup,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/reconciliations""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_list""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/reconcile_list""}]","[""reconcile list""]","[""books_company_reconcile_list"", ""books_db_reconcile_list""]"
reconcile_plan,24 Reconciliation workspace,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/reconciliations/plan""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/reconcile_plan""}]","[""reconcile plan""]","[""books_company_reconcile_plan""]"
reconcile_reopen,25 Complete or reopen reconciliation,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/reconciliations/{id}/reopen""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_reopen""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/reconcile_reopen""}]","[""reconcile reopen""]","[""books_company_reconcile_reopen"", ""books_db_reconcile_reopen""]"
reconcile_replan,25 Complete or reopen reconciliation,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/reconcile_replan""}]","[""reconcile replan""]","[""books_company_reconcile_replan""]"
reconcile_start,23 Reconciliations and statement setup,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_start""}]","[""reconcile start""]","[""books_db_reconcile_start""]"
reconcile_status,25 Complete or reopen reconciliation,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/reconciliations/{id}""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_status""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/reconcile_status""}]","[""reconcile status""]","[""books_company_reconcile_status"", ""books_db_reconcile_status""]"
reconcile_unallocate,24 Reconciliation workspace,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/reconcile_unallocate""}]","[""reconcile unallocate""]","[""books_db_reconcile_unallocate""]"
report_balance_sheet,01 Personal overview; 27 Balance sheet,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/reports/balance-sheet""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/report_balance_sheet""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/report_balance_sheet""}]","[""bs"", ""report balance-sheet""]","[""books_company_report_balance_sheet"", ""books_db_report_balance_sheet""]"
report_general_ledger,29 General ledger,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/reports/general-ledger""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/report_general_ledger""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/report_general_ledger""}]","[""gl"", ""report general-ledger""]","[""books_company_report_general_ledger"", ""books_db_report_general_ledger""]"
report_profit_loss,01 Personal overview; 26 Income and expenses / profit and loss,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/reports/profit-loss""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/report_profit_loss""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/report_profit_loss""}]","[""pl"", ""report profit-loss""]","[""books_company_report_profit_loss"", ""books_db_report_profit_loss""]"
report_trial_balance,28 Trial balance,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/reports/trial-balance""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/report_trial_balance""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/report_trial_balance""}]","[""report trial-balance"", ""tb""]","[""books_company_report_trial_balance"", ""books_db_report_trial_balance""]"
reverse,15 Correct or reverse an entry,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/transactions/{number}/reverse""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/reverse""}]","[""reverse""]","[""books_company_reverse""]"
source_link_journal,21 Source evidence and import batches,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/source_link_journal""}]","[""source link-journal""]","[""books_db_source_link_journal""]"
source_links,21 Source evidence and import batches,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/source_links""}]","[""source links""]","[""books_db_source_links""]"
source_list,08 Imported activity; 21 Source evidence and import batches,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/source_list""}]","[""source list""]","[""books_db_source_list""]"
source_show,21 Source evidence and import batches,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/source_show""}]","[""source show""]","[""books_db_source_show""]"
spend,10 Record spending,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/transactions/spend""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/spend""}]","[""spend""]","[""books_company_spend""]"
statement_account_archive,07 Account lifecycle,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/statement_account_archive""}]","[""statement-account archive""]","[""books_db_statement_account_archive""]"
statement_account_create,06 Create and configure an account,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/statement_account_create""}]","[""statement-account create""]","[""books_db_statement_account_create""]"
statement_account_identity_add,06 Create and configure an account,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/statement_account_identity_add""}]","[""statement-account identity add""]","[""books_db_statement_account_identity_add""]"
statement_account_identity_list,05 Account detail,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/statement_account_identity_list""}]","[""statement-account identity list""]","[""books_db_statement_account_identity_list""]"
statement_account_lifecycle_close_before_coverage,07 Account lifecycle,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/statement_account_lifecycle_close_before_coverage""}]","[""statement-account lifecycle close-before-coverage""]","[""books_db_statement_account_lifecycle_close_before_coverage""]"
statement_account_lifecycle_list,07 Account lifecycle,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/statement_account_lifecycle_list""}]","[""statement-account lifecycle list""]","[""books_db_statement_account_lifecycle_list""]"
statement_account_list,04 Accounts,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/statement-accounts""}, {""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/statement_account_list""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/statement_account_list""}]","[""statement-account list""]","[""books_company_statement_account_list"", ""books_db_statement_account_list""]"
statement_import,21 Source evidence and import batches,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/statement_import""}]","[""statement import""]","[""books_db_statement_import""]"
transaction_list,08 Imported activity,"[{""method"": ""POST"", ""path"": ""/v1/databases/{database}/operations/transaction_list""}]","[""transaction list""]","[""books_db_transaction_list""]"
transfer,12 Record a transfer,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/transactions/transfer""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/transfer""}]","[""transfer""]","[""books_company_transfer""]"
tx_abandon,09 Posted entry detail,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/transactions/{number}/abandon""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/tx_abandon""}]","[""tx abandon""]","[""books_company_tx_abandon""]"
tx_list,14 Journals and batch posting,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/transactions""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/tx_list""}]","[""tx list""]","[""books_company_tx_list""]"
tx_post,09 Posted entry detail,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/transactions/{number}/post""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/tx_post""}]","[""tx post""]","[""books_company_tx_post""]"
tx_show,09 Posted entry detail,"[{""method"": ""GET"", ""path"": ""/v1/companies/{company}/transactions/{number}""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/tx_show""}]","[""tx show""]","[""books_company_tx_show""]"
undo,15 Correct or reverse an entry,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/transactions/{number}/undo""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/undo""}]","[""undo""]","[""books_company_undo""]"
year_close_apply,31 Fiscal year close,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/year-close/apply""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/year_close_apply""}]","[""year-close apply""]","[""books_company_year_close_apply""]"
year_close_plan,31 Fiscal year close,"[{""method"": ""POST"", ""path"": ""/v1/companies/{company}/year-close/plan""}, {""method"": ""POST"", ""path"": ""/v1/companies/{company}/operations/year_close_plan""}]","[""year-close plan""]","[""books_company_year_close_plan""]"
